189,"Tilton, Caroline."
190,"Saltire, Maurice."
191,"Brown, Jacob B."
192,"Ferrara, Francesco "
193,"O'Higgins, Bernardo "
194,"Haggard, Edward Arthur."
195,"Mallet, David."
196,"Mallet, David."
197,Forbes 
198,"Barlas, John Evelyn."
199,"Ravenscroft, Edward "
200,"Dawes, William "
201,"Sosa, Francisco "
202,"Dennis, George "
203,"Ashe, E."
204,Beckwith
205,Beckwith
206,Beckwith
207,"Wall, Alfred Henry."
208,"Finlay, John "
209,"Anderson, Peter"
210,"Browne, Horace Albert."
211,"Armour, George Denholm."
212,"Lloyd, Llewellyn "
213,"Harewood, Fred."
214,"Clutterbuck, Robert Hawley."
215,"Rice, Robert Garraway."
216,"Wilson, James Harrison."
217,"Hofdijk, Willem Jacobs."
218,"Field, Edward "
219,"Port, CéLestin."
220,Firmin
221,"Soane, George."
222,"Fischer, Friedrich Theobald."
223,"Jordan, Denham."
224,"Dasent, George Webbe "
225,"Blair, Andrew "
226,"Field, Michael."
227,"Salt, Henry."
228,"Tabor, Afterwards Stephenson, Eliza."
229,"Annovazzi, Biagio."
230,"Bertacchi, Angiolo."
231,"Mallet, David."
232,"Naftel, Paul Jacob."
233,"Latham, Robert Gordon."
234,"Britton, John"
235,"Partridge, J. Bernard "
236,"Partridge, J. Bernard "
237,"Miranda, Francisco De"
238,"Rolleston, Matthew."
239,"Barry, William Francis."
240,Flannigan 
241,"Thomson, Richard "
242,"Gompertz, Isaac."
243,"Gildemeister, Johann."
244,"Ruffini, Giovanni"
245,"Oldmixon, John "
246,"Cross, John C. "
247,"Evans, Abel."
248,"Rymer, James Malcolm."
249,Inchbald 
250,"Greenwood, William "
251,"Lowell, John Amory."
252,"Saint John, Vane Ireton."
253,"O'Hara, Kane."
254,"Gurney, Hudson."
255,"G., H."
256,"Macdonald, Alexander "
257,"Pollard, Alfred William "
258,"Pigeotte, LéOn."
259,"Dottin, Georges."
260,"Micca, Pietro"
261,"Combes De Lestrade, GaëTan "
262,"Mangles, James."
263,"Bullen, Arthur Henry."
264,"Drapeyron, Ludovic."
265,"Bott, Jacob."
266,"Brill, Willem Gerrit."
267,"Landor, Robert Eyres."
268,"Angelucci, Giulio Anastasio."
269,"Beaumont, Charles De "
270,"Banks, William Mitchell "
271,"Bell, William Boscawen."
272,"VayssièRe, A. "
273,"FernáNdez Guerra Y Orbe, Aureliano."
274,"Braud, Louis."
275,"J., F."
276,"Dunster, Charles."
277,"Taylor, Thomas "
278,"Michelet, Carl Ludwig."
279,"Bekker, Immanuel"
280,"Millon, Charles "
281,Baring
282,"Whitehead, Sarah R."
283,"Baugier, Antoine."
284,"Bernel, George."
285,"Pritchett, Robert Taylor "
286,"Arnold, Charlotte."
287,"Rymer, James Malcolm."
288,"Wilson, William "
289,"Arnold, Edwin "
290,"Marsh, Afterwards Marsh"
291,"Arnold, Eleanor "
292,"Price, Bonamy."
293,"Hedin, Adolf."
294,"Rooke, John "
295,"Rooke, John "
296,"Chinnock, Edward James."
297,"Hoffmann, Samuel Friedrich Wilhelm."
298,"Chotard, Henry."
299,"Arrigoni, Luigi "
300,"Smith, Augustus John."
301,"Nicolay, Charles Grenfell."
302,"Armstrong, John "
303,"Concanen, Matthew "
304,"Neville, Mary."
305,"Knapp, John Leonard."
306,"Craik, Dinah Maria Mulock"
307,"Fawcett, Edgar."
308,"Tuck, George."
309,"Kirton, John William."
310,"Plimsoll, Joseph."
311,"Cochrane, Alexander Dundas Ross "
312,"Warren, Elizabeth "
313,"Schimmelpenninck, Mary Anne "
314,"Ashburnham, George "
315,"Kitton, Frederic George."
316,"De Winton, Afterwards Stretton, Julia Cecilia."
317,"Letts, Charles J."
318,"Braddon, M. E. "
319,"Wauthier, J. M."
320,"Wauthier, J. M."
321,"Pote, B. E."
322,"Hardy, Michel."
323,"Görgey, Artúr"
324,Offley 
325,"Eichstaedt, Heinrich Carl Abraham."
326,"Lefebvre Laboulaye, ÉDouard René."
327,"Tabor, Afterwards Stephenson, Eliza."
328,"Ralph, James "
329,"Holmboe, Thorolf."
330,"Bull, Henrik Johan."
331,"Colvill, Robert."
332,"Roberts, Margaret"
333,"Roberts, Margaret"
334,"Salt, Henry."
335,"Brown, John "
336,"Kelsall, Charles."
337,"Atherstone, Mary Elizabeth."
338,"Fowler, Frank."
339,"Roberts, William "
340,"Griggs, Leverett Stearns."
341,"Aubel, Carl."
342,"La Boutresse, Roger De."
343,"Guigue, Marie Claude."
344,"Simpson, Wolley."
345,"Fayet, Antoine."
346,"Schmid, Wolfgang Maria."
347,"Fraipont, Gustave."
348,"Grommé, W. T."
349,"Merle, Jean Toussaint."
350,"Russell, William Clark."
351,"Faure, ÉMile Valentin CéSar."
352,"Dobson, Henry Austin."
353,"Dobson, Henry Austin."
354,"Dobson, Austin"
355,"Brock, C. E. "
356,"Dobson, Austin"
357,"Watts, Alfred "
358,"Hart, Francis "
359,"Gill, Alfred."
360,"Caswall, Alfred."
361,"Trant, Thomas Abercromby."
362,"Varnhagen, Francisco Adolfo De "
363,"Cabot, John."
364,"BéThencourt, Jean De "
365,"Varnhagen, Francisco Adolfo De "
366,"Craik, Dinah Maria Mulock"
