Country,Season,Gold,Silver,Bronze,Total
Russia,Summer,132,121,142,395
Russia,Winter,49,40,35,124
Russian Empire,Summer,1,4,3,8
Russian Empire,Winter,0,0,0,0
Soviet Union,Summer,395,319,296,1010
Soviet Union,Winter,78,57,59,194
Unified Team,Summer,45,38,29,112
Unified Team,Winter,9,6,8,23
Saudi Arabia,Summer,0,1,2,3
Saudi Arabia,Winter,0,0,0,0
Senegal,Summer,0,1,0,1
Senegal,Winter,0,0,0,0
Serbia,Summer,1,2,4,7
Serbia,Winter,0,0,0,0
Serbia and Montenegro,Summer,2,4,3,9
Serbia and Montenegro,Winter,0,0,0,0
Singapore,Summer,0,2,2,4
Singapore,Winter,0,0,0,0
Slovakia,Summer,7,9,8,24
Slovakia,Winter,2,2,1,5
Slovenia,Summer,4,6,9,19
Slovenia,Winter,2,4,9,15
South Africa,Summer,23,26,27,76
South Africa,Winter,0,0,0,0
Spain,Summer,37,59,35,131
Spain,Winter,1,0,1,2
Sri Lanka,Summer,0,2,0,2
Sri Lanka,Winter,0,0,0,0
Sudan,Summer,0,1,0,1
Sudan,Winter,0,0,0,0
Suriname,Summer,1,0,1,2
Suriname,Winter,0,0,0,0
Sweden,Summer,143,164,176,483
Sweden,Winter,50,40,54,144
Switzerland,Summer,47,73,65,185
Switzerland,Winter,50,40,48,138
Syria,Summer,1,1,1,3
Syria,Winter,0,0,0,0
Chinese Taipei,Summer,2,7,12,21
Chinese Taipei,Winter,0,0,0,0
Tajikistan,Summer,0,1,2,3
Tajikistan,Winter,0,0,0,0
Tanzania,Summer,0,2,0,2
Tanzania,Winter,0,0,0,0
Thailand,Summer,7,6,11,24
Thailand,Winter,0,0,0,0
Togo,Summer,0,0,1,1
Togo,Winter,0,0,0,0
Tonga,Summer,0,1,0,1
Tonga,Winter,0,0,0,0
Trinidad and Tobago,Summer,2,5,11,18
Trinidad and Tobago,Winter,0,0,0,0
Tunisia,Summer,3,3,4,10
Tunisia,Winter,0,0,0,0
Turkey,Summer,39,25,24,88
Turkey,Winter,0,0,0,0
Uganda,Summer,2,3,2,7
Uganda,Winter,0,0,0,0
Ukraine,Summer,33,27,55,115
Ukraine,Winter,2,1,4,7
United Arab Emirates,Summer,1,0,0,1
United Arab Emirates,Winter,0,0,0,0
United States,Summer,976,757,666,2399
United States,Winter,96,102,84,282
Uruguay,Summer,2,2,6,10
Uruguay,Winter,0,0,0,0
Uzbekistan,Summer,5,5,10,20
Uzbekistan,Winter,1,0,0,1
Venezuela,Summer,2,2,8,12
Venezuela,Winter,0,0,0,0
Vietnam,Summer,0,2,0,2
Vietnam,Winter,0,0,0,0
Virgin Islands,Summer,0,1,0,1
Virgin Islands,Winter,0,0,0,0
Yugoslavia,Summer,26,29,28,83
Yugoslavia,Winter,0,3,1,4
Independent Olympic Participants,Summer,0,1,2,3
Independent Olympic Participants,Winter,0,0,0,0
Zambia,Summer,0,1,1,2
Zambia,Winter,0,0,0,0
Zimbabwe,Summer,3,4,1,8
Zimbabwe,Winter,0,0,0,0
Mixed team,Summer,8,5,4,17
Mixed team,Winter,0,0,0,0
Totals,Summer,4809,4775,5130,14714
Totals,Winter,959,958,948,2865
